"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1:1. Recommendation:  change text colour to #767676.","<noscript><iframe src=\"//adesso-group.con...</noscript>","#page-top > noscript"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button type=\"button\" class=\"navbar-toggle collapsed adesso-toggle-btn adesso-toggle-animation\" data-toggle=\"collapse\" data-target=\"#defaultNavbar1\" aria-expanded=\"false\">\n\t\t\t\t\t\t<span class=\"adesso-togg...</button>","#adesso-topnav > div:nth-child(1) > button"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"logo page-scroll\" href=\"/de/index.jsp\"> \n\t\t<svg class=\"adesso-logo\" ro...</a>","#adesso-topnav > div:nth-child(1) > div > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 3.59:1. Recommendation:  change text colour to #20150d.","<a href=\"../../../en/news/blog/index.jsp\">en</a>","#language > li:nth-child(2) > a"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"adesso-search\" found on the web page.","<input placeholder=\"Ihr Thema...\" class=\"form-control adesso-header-search-field flexdatalist-alias\" data-search-in=\"word\" data-url=\"/de/technisches/search/index.jsp\" data-language=\"de\" data-site=\"adesso.de\" id=\"adesso-search\" data-min-length=\"1\" typ...","#adesso-search"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name","This textinput element does not have a name available to an accessibility API. Valid names are: label element, title undefined, aria-label undefined, aria-labelledby undefined.","<input placeholder=\"Ihr Thema...\" class=\"form-control adesso-header-search-field flexdatalist-alias\" data-search-in=\"word\" data-url=\"/de/technisches/search/index.jsp\" data-language=\"de\" data-site=\"adesso.de\" id=\"adesso-search\" data-min-length=\"1\" typ...","#adesso-search"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F68","This form field should be labelled in some way. Use the label element (either with a \"for\" attribute or wrapped around the form field), or \"title\", \"aria-label\" or \"aria-labelledby\" attributes as appropriate.","<input placeholder=\"Ihr Thema...\" class=\"form-control adesso-header-search-field flexdatalist-alias\" data-search-in=\"word\" data-url=\"/de/technisches/search/index.jsp\" data-language=\"de\" data-site=\"adesso.de\" id=\"adesso-search\" data-min-length=\"1\" typ...","#adesso-search"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button type=\"submit\" class=\"adesso-round\">\n\t     <svg class=\"rotate-270 c...</button>","#adesso-top-nav-search > button"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 1:1. Recommendation:  change text colour to #767676.","<noscript>\n\t\t<div class=\"adesso-text-form...</noscript>","#adesso-content > noscript"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.07:1. Recommendation:  change background to #837800.","<button class=\"adesso-blog-category themed active\" onclick=\"location.href='/de/news/blog/index.jsp';\">Neueste Einträge</button>","#adesso-content > main > div:nth-child(4) > div:nth-child(1) > div > div > button:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.07:1. Recommendation:  change text colour to #837800.","<span onclick=\"location.href='/de/news/blog/index.jsp?blogCategoryID=43586';\" class=\"adesso-blog-category themed\">Methodik</span>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<p class=\"adesso-date themed text-tertiary-warmgrey\">26.09.2023\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\n\t\t...</p>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > p"
